full_text,label,Length,num_words,num_sentence,text_bersih,text_stopword_dihapus,tokenized_text,stemmed_text,tokenized_sent
lah lu ngetweet pake internet apa ngga? katanya mau makan siang gratis? ðÿ«µðÿ½ðÿ«µðÿ½ðÿ«µðÿ½,0,96,21,3,lah lu ngetweet pake internet apa ngga? katanya mau makan siang gratis? ????????????????????????,ngetweet pakai internet ? makan siang gratis ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?,"['ngetweet', 'pakai', 'internet', '?', 'makan', 'siang', 'gratis', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']","['ngetweet', 'pakai', 'internet', '', 'makan', 'siang', 'gratis', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[963, 22, 91, 2, 3, 1]"
anggaran makan siang gratis dihitung usai kpu umumkan pemenang pilpres https://t.co/3vfyg7iqlh,0,94,13,1,anggaran makan siang gratis dihitung usai kpu umumkan pemenang pilpres,anggaran makan siang gratis dihitung kpu umumkan pemenang pilpres,"['anggaran', 'makan', 'siang', 'gratis', 'dihitung', 'kpu', 'umumkan', 'pemenang', 'pilpres']","['anggar', 'makan', 'siang', 'gratis', 'hitung', 'kpu', 'umum', 'menang', 'pilpres']","[25, 2, 3, 1, 964, 965, 966, 967, 562]"
"@bulepotanning @horcruxesssss @xopch @unjsecret pdhl yg dibicarakan ktka acara dialog capres dg kadin bkn hny itu. tp yg anda ambil cm hilirisasi &amp  makan siang gratis. ketahanan pangan, kesejahteraan petani, gagasan soal ekonomi makro dan mikro gak anda singgung? sudah saya bilang, jgn sampe kebencian membunuh rasionalitas.",1,329,59,4,"pdhl yg dibicarakan ktka acara dialog capres dg kadin bkn hny itu. tp yg anda ambil cm hilirisasi &amp makan siang gratis. ketahanan pangan, kesejahteraan petani, gagasan soal ekonomi makro dan mikro gak anda singgung? sudah saya bilang, jgn sampe kebencian membunuh rasionalitas.","dibicarakan ktka acara dialog capres kadin bkn hny . ambil hilirisasi & amplop makan siang gratis . ketahanan pangan , kesejahteraan petani , gagasan ekonomi makro mikro singgung ? , sampe kebencian membunuh rasionalitas .","['dibicarakan', 'ktka', 'acara', 'dialog', 'capres', 'kadin', 'bkn', 'hny', '.', 'ambil', 'hilirisasi', '&', 'amplop', 'makan', 'siang', 'gratis', '.', 'ketahanan', 'pangan', ',', 'kesejahteraan', 'petani', ',', 'gagasan', 'ekonomi', 'makro', 'mikro', 'singgung', '?', ',', 'sampe', 'kebencian', 'membunuh', 'rasionalitas', '.']","['bicara', 'ktka', 'acara', 'dialog', 'capres', 'kadin', 'bkn', 'hny', '', 'ambil', 'hilir', '', 'amplop', 'makan', 'siang', 'gratis', '', 'tahan', 'pangan', '', 'sejahtera', 'tani', '', 'gagas', 'ekonomi', 'makro', 'mikro', 'singgung', '', '', 'sampe', 'benci', 'bunuh', 'rasionalitas', '']","[968, 969, 563, 970, 67, 971, 217, 972, 161, 289, 45, 2, 3, 1, 973, 290, 375, 974, 218, 219, 975, 976, 977, 56, 978, 979, 980]"
@aki_jupi2 @tvonenews menaikkan pajak 12% jadi akal2an demi menambal kelebihan pengeluaran. makanya makan siang gratis itu cuma pembodohan rakyat. sayangnya memang masih banyak rakyat yg goblok2. terutama pendukungnya jokowi &amp  02,0,233,38,4,_jupi menaikkan pajak % jadi akalan demi menambal kelebihan pengeluaran. makanya makan siang gratis itu cuma pembodohan rakyat. sayangnya memang masih banyak rakyat yg goblok. terutama pendukungnya jokowi &amp,_jupi menaikkan pajak % akalan menambal kelebihan pengeluaran . makan siang gratis pembodohan rakyat . sayangnya rakyat goblok . pendukungnya jokowi & amplop,"['_jupi', 'menaikkan', 'pajak', '%', 'akalan', 'menambal', 'kelebihan', 'pengeluaran', '.', 'makan', 'siang', 'gratis', 'pembodohan', 'rakyat', '.', 'sayangnya', 'rakyat', 'goblok', '.', 'pendukungnya', 'jokowi', '&', 'amplop']","['jupi', 'naik', 'pajak', '', 'akal', 'tambal', 'lebih', 'keluar', '', 'makan', 'siang', 'gratis', 'bodoh', 'rakyat', '', 'sayang', 'rakyat', 'goblok', '', 'dukung', 'jokowi', '', 'amplop']","[981, 982, 29, 983, 984, 985, 986, 2, 3, 1, 220, 8, 291, 8, 57, 292, 127, 45]"
@ujang_rr @geloraco program ngdabrus ya itulah program makan siang gratis. ngajarin rakyat jadi pengemis,0,104,17,2,_rr program ngdabrus ya itulah program makan siang gratis. ngajarin rakyat jadi pengemis,_rr program ngdabrus program makan siang gratis . ngajarin rakyat pengemis,"['_rr', 'program', 'ngdabrus', 'program', 'makan', 'siang', 'gratis', '.', 'ngajarin', 'rakyat', 'pengemis']","['rr', 'program', 'ngdabrus', 'program', 'makan', 'siang', 'gratis', '', 'ngajarin', 'rakyat', 'emis']","[564, 4, 987, 4, 2, 3, 1, 988, 8, 376]"
"ibu retno marsudi rasanya msh takutâ²,wlpun di ln pst tau bu.... dan ibu sri mulyani terlihat bingung.  penggunaan apbn bgsnya untuk dinikmati rakyat indonesia seluruhnya tp kl dipaksakan tuk makan siang gratis saya yakin tdk akan bertahan lama. https://t.co/3zrcigjwmm",0,269,46,3,"ibu retno marsudi rasanya msh takut??,wlpun di ln pst tau bu.... dan ibu sri mulyani terlihat bingung. penggunaan apbn bgsnya untuk dinikmati rakyat indonesia seluruhnya tp kl dipaksakan tuk makan siang gratis saya yakin tdk akan bertahan lama.","retno marsudi takut ? ? , ln bu .... sri mulyani bingung . penggunaan apbn bgsnya dinikmati rakyat indonesia dipaksakan makan siang gratis bertahan .","['retno', 'marsudi', 'takut', '?', '?', ',', 'ln', 'bu', '....', 'sri', 'mulyani', 'bingung', '.', 'penggunaan', 'apbn', 'bgsnya', 'dinikmati', 'rakyat', 'indonesia', 'dipaksakan', 'makan', 'siang', 'gratis', 'bertahan', '.']","['retno', 'marsudi', 'takut', '', '', '', 'ln', 'bu', '', 'sri', 'mulyani', 'bingung', '', 'guna', 'apbn', 'bgsnya', 'nikmat', 'rakyat', 'indonesia', 'paksa', 'makan', 'siang', 'gratis', 'tahan', '']","[989, 990, 293, 565, 128, 991, 992, 221, 566, 33, 993, 377, 8, 18, 994, 2, 3, 1, 567]"
@iweng01 @akunbarublek @ignasbowo laaah si pekok. dana makan siang gratis tau ga uang nya dari mana. jangan iya iya aja. itu makan gratis ngambil dana bos  yang pasti sangat berpengaruh untuk pendidikan. dana bos lebih efektif.,0,227,44,5,laaah si pekok. dana makan siang gratis tau ga uang nya dari mana. jangan iya iya aja. itu makan gratis ngambil dana bos yang pasti sangat berpengaruh untuk pendidikan. dana bos lebih efektif.,pekok . dana makan siang gratis uang . . makan gratis ngambil dana bos berpengaruh pendidikan . dana bos efektif .,"['pekok', '.', 'dana', 'makan', 'siang', 'gratis', 'uang', '.', '.', 'makan', 'gratis', 'ngambil', 'dana', 'bos', 'berpengaruh', 'pendidikan', '.', 'dana', 'bos', 'efektif', '.']","['kok', '', 'dana', 'makan', 'siang', 'gratis', 'uang', '', '', 'makan', 'gratis', 'ngambil', 'dana', 'bos', 'pengaruh', 'didik', '', 'dana', 'bos', 'efektif', '']","[568, 9, 2, 3, 1, 26, 2, 1, 569, 9, 11, 995, 5, 9, 11, 555]"
"udah guru honorer digaji gak layak trs dipotong buat makan siang gratis pula : nanti yg ada uang komite naik drastis""",0,117,22,1,"udah guru honorer digaji gak layak trs dipotong buat makan siang gratis pula : nanti yg ada uang komite naik drastis""",udah guru honorer digaji layak dipotong makan siang gratis : uang komite drastis ``,"['udah', 'guru', 'honorer', 'digaji', 'layak', 'dipotong', 'makan', 'siang', 'gratis', ':', 'uang', 'komite', 'drastis', '``']","['udah', 'guru', 'honorer', 'gaji', 'layak', 'potong', 'makan', 'siang', 'gratis', '', 'uang', 'komite', 'drastis', '']","[13, 42, 90, 216, 162, 222, 2, 3, 1, 26, 996, 997]"
@anggaputraf makan siang gratis lebih penting kata sailen mayoriti,0,66,10,1,makan siang gratis lebih penting kata sailen mayoriti,makan siang gratis sailen mayoriti,"['makan', 'siang', 'gratis', 'sailen', 'mayoriti']","['makan', 'siang', 'gratis', 'sailen', 'mayoriti']","[2, 3, 1, 998, 999]"
@pemburukimcil14 @ggprakosa @sunabati24 butuhnta makan siang gratis sama joget2,0,79,12,1,butuhnta makan siang gratis sama joget,butuhnta makan siang gratis joget,"['butuhnta', 'makan', 'siang', 'gratis', 'joget']","['butuhnta', 'makan', 'siang', 'gratis', 'joget']","[1000, 2, 3, 1, 23]"
"saya yakin tim think-tank @prabowo @gibran_tweet bukan orang sembarangan untuk program makan siang gratis.  tentunya hal yang perlu diperhatikan adalah biaya masak dan biaya lain-lain.   biaya lain-lain ini termasuk biaya transportasi, akomodasi, monitoring &amp  evaluasi.  demikian.",1,284,45,4,"saya yakin tim think-tank _tweet bukan orang sembarangan untuk program makan siang gratis. tentunya hal yang perlu diperhatikan adalah biaya masak dan biaya lain-lain. biaya lain-lain ini termasuk biaya transportasi, akomodasi, monitoring &amp evaluasi. demikian.","tim think-tank _tweet orang sembarangan program makan siang gratis . diperhatikan biaya masak biaya lain-lain . biaya lain-lain biaya transportasi , akomodasi , monitoring & amplop evaluasi . .","['tim', 'think-tank', '_tweet', 'orang', 'sembarangan', 'program', 'makan', 'siang', 'gratis', '.', 'diperhatikan', 'biaya', 'masak', 'biaya', 'lain-lain', '.', 'biaya', 'lain-lain', 'biaya', 'transportasi', ',', 'akomodasi', ',', 'monitoring', '&', 'amplop', 'evaluasi', '.', '.']","['tim', 'think-tank', 'tweet', 'orang', 'sembarang', 'program', 'makan', 'siang', 'gratis', '', 'perhati', 'biaya', 'masak', 'biaya', 'lain', '', 'biaya', 'lain', 'biaya', 'transportasi', '', 'akomodasi', '', 'monitoring', '', 'amplop', 'evaluasi', '', '']","[1001, 1002, 1003, 223, 14, 1004, 4, 2, 3, 1, 1005, 28, 378, 28, 163, 163, 28, 163, 163, 28, 1006, 1007, 1008, 45, 570]"
digaji pake makan siang gratis juga kali bu ðÿ¤¡,0,48,9,1,digaji pake makan siang gratis juga kali bu ????,digaji pakai makan siang gratis kali bu ? ? ? ?,"['digaji', 'pakai', 'makan', 'siang', 'gratis', 'kali', 'bu', '?', '?', '?', '?']","['gaji', 'pakai', 'makan', 'siang', 'gratis', 'kali', 'bu', '', '', '', '']","[216, 22, 2, 3, 1, 92, 128]"
belom dilantik aja anggaran makan siang gratis udah disiapin sama yang sekarang ngejabat.,0,89,14,1,belom dilantik aja anggaran makan siang gratis udah disiapin sama yang sekarang ngejabat.,belom dilantik anggaran makan siang gratis udah disiapin ngejabat .,"['belom', 'dilantik', 'anggaran', 'makan', 'siang', 'gratis', 'udah', 'disiapin', 'ngejabat', '.']","['bom', 'lantik', 'anggar', 'makan', 'siang', 'gratis', 'udah', 'disiapin', 'ngejabat', '']","[164, 165, 25, 2, 3, 1, 13, 1009, 1010]"
"@2009isbestyear wkwkwkw jadi keinget diskusi ama temen gua, dia seumuran sama gua umur 20-an. tiap ditanya kenapa pilih 02 jawabannya pasti ya bisa nerusin ikn dan bisa dpet makan gratis"", cuyy lu tuh gk dpt makan siang anjritt dan ikn gk semurah itu ðÿ˜‚ðÿ‘š""",0,260,52,2,"wkwkwkw jadi keinget diskusi ama temen gua, dia seumuran sama gua umur -an. tiap ditanya kenapa pilih jawabannya pasti ya bisa nerusin ikn dan bisa dpet makan gratis"", cuyy lu tuh gk dpt makan siang anjritt dan ikn gk semurah itu ????????""","keinget diskusi ama temen , seumuran umur -an . pilih jawabannya nerusin ikn dpet makan gratis `` , makan siang ikn semurah ? ? ? ? ? ? ? ? ``","['keinget', 'diskusi', 'ama', 'temen', ',', 'seumuran', 'umur', '-an', '.', 'pilih', 'jawabannya', 'nerusin', 'ikn', 'dpet', 'makan', 'gratis', '``', ',', 'makan', 'siang', 'ikn', 'semurah', '?', '?', '?', '?', '?', '?', '?', '?', '``']","['keinget', 'diskusi', 'ama', 'temen', '', 'umur', 'umur', '-an', '', 'pilih', 'jawab', 'nerusin', 'ikn', 'dpet', 'makan', 'gratis', '', '', 'makan', 'siang', 'ikn', 'murah', '', '', '', '', '', '', '', '', '']","[379, 1011, 224, 294, 1012, 571, 295, 12, 380, 1013, 104, 1014, 2, 1, 2, 3, 104, 1015]"
"makan siang gratis, kalau yang kelola sekolah, ada biaya masaknya &amp  biaya lain-lain @prabowo @gibran_tweet   biaya-biaya ini apa sudah include dalam 15rb atau di luar 15rb.  ini masih misteri.  ehem.",0,203,38,3,"makan siang gratis, kalau yang kelola sekolah, ada biaya masaknya &amp biaya lain-lain _tweet biaya-biaya ini apa sudah include dalam rb atau di luar rb. ini masih misteri. ehem.","makan siang gratis , kelola sekolah , biaya masaknya & amplop biaya lain-lain _tweet biaya-biaya include . misteri . .","['makan', 'siang', 'gratis', ',', 'kelola', 'sekolah', ',', 'biaya', 'masaknya', '&', 'amplop', 'biaya', 'lain-lain', '_tweet', 'biaya-biaya', 'include', '.', 'misteri', '.', '.']","['makan', 'siang', 'gratis', '', 'kelola', 'sekolah', '', 'biaya', 'masak', '', 'amplop', 'biaya', 'lain', 'tweet', 'biaya', 'include', '', 'misteri', '', '']","[2, 3, 1, 1016, 7, 28, 1017, 45, 28, 163, 163, 223, 28, 28, 1018, 1019]"
kepala bkkbn sarankan program makan siang gratis juga sasar ibu hamil https://t.co/bb5tewrpwl https://t.co/rgf4kcsrft,1,117,17,1,kepala bkkbn sarankan program makan siang gratis juga sasar ibu hamil,kepala bkkbn sarankan program makan siang gratis sasar hamil,"['kepala', 'bkkbn', 'sarankan', 'program', 'makan', 'siang', 'gratis', 'sasar', 'hamil']","['kepala', 'bkkbn', 'saran', 'program', 'makan', 'siang', 'gratis', 'sasar', 'hamil']","[296, 1020, 1021, 4, 2, 3, 1, 1022, 58]"
"@pakarkampanye makan siang gratis yang gak gratis  intinya mereka yg bikin janjiâ² manis sampai mulut berbusa, ujungâ²nya rakyat juga yg dikondisikan utk gotong royong nanggung programnya.. sementara itu, feeâ² proyek akan tetap bocor 15% ke tanganâ² elit ðÿ¤¥ðÿ¤§",0,264,43,1,"makan siang gratis yang gak gratis intinya mereka yg bikin janji?? manis sampai mulut berbusa, ujung??nya rakyat juga yg dikondisikan utk gotong royong nanggung programnya.. sementara itu, fee?? proyek akan tetap bocor % ke tangan?? elit ????????","makan siang gratis gratis intinya janji ? ? manis mulut berbusa , ujung ? ? rakyat dikondisikan gotong royong nanggung programnya .. , fee ? ? proyek bocor % tangan ? ? elit ? ? ? ? ? ? ? ?","['makan', 'siang', 'gratis', 'gratis', 'intinya', 'janji', '?', '?', 'manis', 'mulut', 'berbusa', ',', 'ujung', '?', '?', 'rakyat', 'dikondisikan', 'gotong', 'royong', 'nanggung', 'programnya', '..', ',', 'fee', '?', '?', 'proyek', 'bocor', '%', 'tangan', '?', '?', 'elit', '?', '?', '?', '?', '?', '?', '?', '?']","['makan', 'siang', 'gratis', 'gratis', 'inti', 'janji', '', '', 'manis', 'mulut', 'busa', '', 'ujung', '', '', 'rakyat', 'kondisi', 'gotong', 'royong', 'nanggung', 'program', '', '', 'fee', '', '', 'proyek', 'bocor', '', 'tangan', '', '', 'elit', '', '', '', '', '', '', '', '']","[2, 3, 1, 1, 1023, 46, 297, 1024, 572, 381, 8, 1025, 1026, 1027, 573, 81, 382, 49, 1028, 383, 574]"
@paimomontok 58% rakyat indonesia kena prank. habis makan bansos dan makan siang gratis disuruh makan tainya sendiri. ðÿ¤£,0,122,22,3,% rakyat indonesia kena prank. habis makan bansos dan makan siang gratis disuruh makan tainya sendiri. ????,% rakyat indonesia kena prank . habis makan bansos makan siang gratis disuruh makan tainya . ? ? ? ?,"['%', 'rakyat', 'indonesia', 'kena', 'prank', '.', 'habis', 'makan', 'bansos', 'makan', 'siang', 'gratis', 'disuruh', 'makan', 'tainya', '.', '?', '?', '?', '?']","['', 'rakyat', 'indonesia', 'kena', 'prank', '', 'habis', 'makan', 'bansos', 'makan', 'siang', 'gratis', 'suruh', 'makan', 'tainya', '', '', '', '', '']","[8, 18, 68, 1029, 93, 2, 30, 2, 3, 1, 575, 2, 1030]"
@anggaputraf lebih baik makan siang ama susu gratis ga sih?,1,59,12,1,lebih baik makan siang ama susu gratis ga sih?,makan siang ama susu gratis ?,"['makan', 'siang', 'ama', 'susu', 'gratis', '?']","['makan', 'siang', 'ama', 'susu', 'gratis', '']","[2, 3, 224, 16, 1]"
"@kompascom lagian mau makan siang gratis tapi ga mau kena pajak tinggi  kalau mau meniru negara lain, tuh finlandia pajak 56%",1,125,24,1,"lagian mau makan siang gratis tapi ga mau kena pajak tinggi kalau mau meniru negara lain, tuh finlandia pajak %","makan siang gratis kena pajak meniru negara , finlandia pajak %","['makan', 'siang', 'gratis', 'kena', 'pajak', 'meniru', 'negara', ',', 'finlandia', 'pajak', '%']","['makan', 'siang', 'gratis', 'kena', 'pajak', 'tiru', 'negara', '', 'finlandia', 'pajak', '']","[2, 3, 1, 68, 29, 1031, 17, 576, 29]"
"makannya kemaren pilih presiden yg punya kebijakan pendidikan gratis bukan makan siang gratis, ngapain nuntut ke muhammadiyah tolol ðÿ’€",0,136,22,1,"makannya kemaren pilih presiden yg punya kebijakan pendidikan gratis bukan makan siang gratis, ngapain nuntut ke muhammadiyah tolol ????","makannya kemaren pilih presiden kebijakan pendidikan gratis makan siang gratis , ngapain nuntut muhammadiyah tolol ? ? ? ?","['makannya', 'kemaren', 'pilih', 'presiden', 'kebijakan', 'pendidikan', 'gratis', 'makan', 'siang', 'gratis', ',', 'ngapain', 'nuntut', 'muhammadiyah', 'tolol', '?', '?', '?', '?']","['makan', 'kemaren', 'pilih', 'presiden', 'bijak', 'didik', 'gratis', 'makan', 'siang', 'gratis', '', 'ngapain', 'nuntut', 'muhammadiyah', 'tolol', '', '', '', '']","[298, 384, 12, 69, 79, 5, 1, 2, 3, 1, 166, 1032, 299, 35]"
"@miduk17 dan saya yakin akan terpilih, karena masih ada trah jokowinya, itulah kenapa program pendidikan harus d kurangi dan d gantikan program makan siang gratis, supaya kebodohan rakyat indonesia itu selalu istiqomah, supaya gampang d bodohin terus oleh politisi berkedok demokratis",1,284,46,1,"dan saya yakin akan terpilih, karena masih ada trah jokowinya, itulah kenapa program pendidikan harus d kurangi dan d gantikan program makan siang gratis, supaya kebodohan rakyat indonesia itu selalu istiqomah, supaya gampang d bodohin terus oleh politisi berkedok demokratis","terpilih , trah jokowinya , program pendidikan kurangi gantikan program makan siang gratis , kebodohan rakyat indonesia istiqomah , gampang bodohin politisi berkedok demokratis","['terpilih', ',', 'trah', 'jokowinya', ',', 'program', 'pendidikan', 'kurangi', 'gantikan', 'program', 'makan', 'siang', 'gratis', ',', 'kebodohan', 'rakyat', 'indonesia', 'istiqomah', ',', 'gampang', 'bodohin', 'politisi', 'berkedok', 'demokratis']","['pilih', '', 'trah', 'jokowinya', '', 'program', 'didik', 'kurang', 'ganti', 'program', 'makan', 'siang', 'gratis', '', 'bodoh', 'rakyat', 'indonesia', 'istiqomah', '', 'gampang', 'bodohin', 'politis', 'kedok', 'demokratis']","[577, 1033, 1034, 4, 5, 1035, 1036, 4, 2, 3, 1, 225, 8, 18, 1037, 226, 578, 1038, 1039, 1040]"
